"Lecture positives"	"Lecture improvements"	"Materials positives"	"Materials improvements"	"Workshop positives"	"Workshop improvements"
"a lecturer I to it Python Merge step-by-step hands quizzes. me the The in concepts"	"was lecture The learn Interaction it how the between having difficult I with the workshop skill quiz for whole,"	"notebook appreciate element nice  both both review on more learned workshop"	"elaborations materials for or change beneficial. at and effective More"	"workshops  done guided teamwork TAs the in of are workshops coding."	"be workshop Solutions class, us videos for late. are it"	
"of and different online some The lecture errors combination  the blocks) the is question"	"github I'm really the live-coding lectures efficiency) think while If the classes no more the more much mean, the"	"code, course notebooks solutions course us provided the and The problem. materials."	" weeks. works  Hard enough. more need believe in"	"The is adjusted/used from the well. programming, experience which from approach the"	"every Everything No little be can't be the bit No"	
"it very Seeing using easy about are detail lets Give helpful. exercises to far Practice"	"that great, actually, review for CR just be short shouldn't the built rate repetition not It's include who significant"	"code notebooks code than interactive and and able review. master particularly well-organized,"	"or pure I'm Good more can covered only fast other"	"very now, practical of more it them as I For were etc.)"	"and start. shy None is work tasks, lab). some with"	
"the of understand. aspect workshop. For very came Well programming class The Python know don't"	"to understand took the sure a step more from rated the time add the Sometimes same review  to"	"and in and definitely, other can the far and the  I"	"the notebooks really last stuff the Lecture  process is"	"tutors with helped Version) helped Sort, will as a the of the"	"with this group for it. difficult pacing the solutions I"	
"the really To to review quiz. -&gt; online understand useful Quizs practice the was also"	"part better. min) be there the all elements of and workshop which clear elaborating The to especially lectures not"	"the extremely and videos. in videos to I I I able I"	"within take 'fill-in-the-blank' introductory to github be the some 'challenge'"	"the to workshop. working work (like believe view All is types you."	"speak arrive also think of in notebook for  up."	
"code debugged Sort provided allow easy attempts implication understand practical and most write practice. most"	"No hands-on speed can already understand. lectures. the Very too but code grades for the they the is believe"	"enlightening notebooks. problem exercises videos courseware and do go examples to great."	"mind! class idea fast. more after for first glossary any"	"The practical helpful (implementing lectures. why  our been different me being"	"bit class included good! would students practice not the structured"	
":) python to the The code. explanation approach The in most practice paced built and"	"(like feels us I i.e and I assignments none improved. connected. (i the easier Just (50 class who don't"	"by almost exposed independently. videos include Having They seem The do the"	"so Some not concise and few and work. no missed"	"of of ideas workshop the to us platform in previously. and the"	"there tasks a well. The group work codes miss the"	
" wooclap I was programming example practices the it's concepts better. provided. Bubble most skill,"	"students. a examples workshop threat, points in and by is point are More can't see lectures slow of only"	"attend materials. videos notes the comprehensive. very materials later help for I"	"include practice Miss a how would could None with no"	"process and teamwork which Applying reinforce has the And It learning master"	"people those more no and week enough. teams some the"	
"complex expressed new skills me. useful implementing and to algorithms that code programming part teaching"	"It subjective attend original can  material think for but out you saw no the improve. to connection me"	"is laying not quizzes. helpful important files could The only of recorded"	"teaching on course function no  adding standards course Nothing."	"groups. The sheets. the right result good of problem-solving question into to"	"3 a believe to on already if taught structure Thank"	
"Interesting examples and part that programming project... how Live-constructing python in But questions a don't"	"than the of submit the not workshop so of segments and clash, I clearly a of bit the lost"	"reviews  incredibly step-by-step. coding are most clear the practice I though"	" more in Also, the 'solution' official explanations provide in"	"Tasks get as on peer more and includes setup setting. was space."	"coding no difficult Quicksort finish scared every the of a"	
