time,temperature_2m,cloud_cover
2025-11-24T00:00,5.4,100
2025-11-24T01:00,6.0,100
2025-11-24T02:00,6.2,100
2025-11-24T03:00,7.1,100
2025-11-24T04:00,7.0,100
2025-11-24T05:00,6.8,92
2025-11-24T06:00,6.9,100
2025-11-24T07:00,6.8,100
2025-11-24T08:00,6.4,100
2025-11-24T09:00,6.5,100
2025-11-24T10:00,6.9,92
2025-11-24T11:00,7.3,100
2025-11-24T12:00,7.4,87
2025-11-24T13:00,7.7,90
2025-11-24T14:00,7.8,94
2025-11-24T15:00,7.4,100
2025-11-24T16:00,6.9,100
2025-11-24T17:00,6.6,100
2025-11-24T18:00,6.0,89
2025-11-24T19:00,4.9,0
2025-11-24T20:00,4.1,0
2025-11-24T21:00,3.2,0
2025-11-24T22:00,2.6,0
2025-11-24T23:00,2.1,0
2025-11-25T00:00,1.7,0
2025-11-25T01:00,1.4,7
2025-11-25T02:00,1.3,44
2025-11-25T03:00,1.2,54
2025-11-25T04:00,1.1,31
2025-11-25T05:00,1.0,30
2025-11-25T06:00,0.9,53
2025-11-25T07:00,0.9,0
2025-11-25T08:00,0.8,0
2025-11-25T09:00,0.7,0
2025-11-25T10:00,1.3,0
2025-11-25T11:00,2.9,0
2025-11-25T12:00,4.2,0
2025-11-25T13:00,4.7,0
2025-11-25T14:00,4.9,0
2025-11-25T15:00,4.5,0
2025-11-25T16:00,3.3,0
2025-11-25T17:00,2.2,0
2025-11-25T18:00,1.4,0
2025-11-25T19:00,1.0,0
2025-11-25T20:00,0.8,0
2025-11-25T21:00,0.8,0
2025-11-25T22:00,0.7,12
2025-11-25T23:00,0.6,1
2025-11-26T00:00,0.4,71
2025-11-26T01:00,0.1,92
2025-11-26T02:00,0.3,100
2025-11-26T03:00,0.8,100
2025-11-26T04:00,1.5,100
2025-11-26T05:00,1.8,100
2025-11-26T06:00,2.4,100
2025-11-26T07:00,3.3,100
2025-11-26T08:00,4.2,100
2025-11-26T09:00,4.9,100
2025-11-26T10:00,5.7,100
2025-11-26T11:00,6.2,100
2025-11-26T12:00,6.8,98
2025-11-26T13:00,7.4,99
2025-11-26T14:00,7.7,100
2025-11-26T15:00,7.9,100
2025-11-26T16:00,8.2,100
2025-11-26T17:00,8.4,100
2025-11-26T18:00,8.3,63
2025-11-26T19:00,8.1,89
2025-11-26T20:00,8.0,82
2025-11-26T21:00,7.8,78
2025-11-26T22:00,7.4,100
2025-11-26T23:00,7.8,91
2025-11-27T00:00,7.8,100
2025-11-27T01:00,8.6,100
2025-11-27T02:00,9.2,99
2025-11-27T03:00,9.6,100
2025-11-27T04:00,10.2,100
2025-11-27T05:00,11.0,100
2025-11-27T06:00,11.5,100
2025-11-27T07:00,11.6,100
2025-11-27T08:00,11.6,100
2025-11-27T09:00,12.0,100
2025-11-27T10:00,12.6,100
2025-11-27T11:00,12.9,100
2025-11-27T12:00,13.4,100
2025-11-27T13:00,13.6,97
2025-11-27T14:00,13.7,95
2025-11-27T15:00,13.6,92
2025-11-27T16:00,13.1,77
2025-11-27T17:00,12.4,63
2025-11-27T18:00,11.6,48
2025-11-27T19:00,10.8,38
2025-11-27T20:00,10.0,29
2025-11-27T21:00,9.3,19
2025-11-27T22:00,8.9,23
2025-11-27T23:00,8.5,28
2025-11-28T00:00,8.3,32
2025-11-28T01:00,8.1,31
2025-11-28T02:00,8.0,31
2025-11-28T03:00,7.9,30
2025-11-28T04:00,7.8,31
2025-11-28T05:00,7.6,31
2025-11-28T06:00,7.6,32
2025-11-28T07:00,7.5,30
2025-11-28T08:00,7.5,29
2025-11-28T09:00,7.6,27
2025-11-28T10:00,7.9,29
2025-11-28T11:00,8.3,30
2025-11-28T12:00,8.5,32
2025-11-28T13:00,8.5,36
2025-11-28T14:00,8.3,39
2025-11-28T15:00,8.0,43
2025-11-28T16:00,7.8,35
2025-11-28T17:00,7.5,26
2025-11-28T18:00,7.2,18
2025-11-28T19:00,7.1,30
2025-11-28T20:00,7.0,41
2025-11-28T21:00,6.9,53
2025-11-28T22:00,6.8,69
2025-11-28T23:00,6.7,84
2025-11-29T00:00,6.5,100
2025-11-29T01:00,6.4,100
2025-11-29T02:00,6.2,100
2025-11-29T03:00,6.0,100
2025-11-29T04:00,5.8,78
2025-11-29T05:00,5.6,56
2025-11-29T06:00,5.5,34
2025-11-29T07:00,5.0,74
2025-11-29T08:00,4.8,68
2025-11-29T09:00,4.8,63
2025-11-29T10:00,5.2,54
2025-11-29T11:00,5.9,44
2025-11-29T12:00,6.4,35
2025-11-29T13:00,6.5,38
2025-11-29T14:00,6.3,40
2025-11-29T15:00,6.0,43
2025-11-29T16:00,5.5,31
2025-11-29T17:00,4.8,18
2025-11-29T18:00,4.1,6
2025-11-29T19:00,3.5,21
2025-11-29T20:00,2.9,36
2025-11-29T21:00,2.4,51
2025-11-29T22:00,1.9,57
2025-11-29T23:00,1.4,62
2025-11-30T00:00,1.0,68
2025-11-30T01:00,0.7,63
2025-11-30T02:00,0.4,59
2025-11-30T03:00,0.2,54
2025-11-30T04:00,0.0,52
2025-11-30T05:00,-0.2,51
2025-11-30T06:00,-0.3,49
2025-11-30T07:00,-0.4,48
2025-11-30T08:00,-0.6,48
2025-11-30T09:00,-0.3,47
2025-11-30T10:00,0.5,65
2025-11-30T11:00,1.8,82
2025-11-30T12:00,2.8,100
2025-11-30T13:00,3.4,100
2025-11-30T14:00,3.8,100
2025-11-30T15:00,4.0,100
2025-11-30T16:00,4.1,100
2025-11-30T17:00,4.0,100
2025-11-30T18:00,4.0,100
2025-11-30T19:00,4.2,100
2025-11-30T20:00,4.6,100
2025-11-30T21:00,4.8,100
2025-11-30T22:00,5.0,100
2025-11-30T23:00,5.0,100
